#  Use Case Diagram & Đặc tả

Dự án GPS Tours & Phố Ẩm thực Vĩnh Khánh

1. Actors
Actor,Loại,Mô tả,Platform
**Admin**,Primary,"Quản trị viên hệ thống, quản lý toàn bộ POIs, Tours, Users",Web Dashboard
**Shop Owner**,Primary,"Chủ cửa hàng, quản lý POIs của mình",Web Dashboard
**Tourist**,Primary,Du khách sử dụng app để khám phá,Mobile App (Expo)
**System**,Secondary,"Hệ thống tự động (GPS, triggers, notifications)",Backend

2. Use Case Diagram
[Diagram]

3. Đặc tả Use Case chi tiết

  UC-01: Đăng nhập Admin
Field,Detail
**Use Case Number**,UC-01
**Use Case Name**,Đăng nhập Admin
**Actor(s)**,Admin
**Maturity**,Focused
**Summary**,"Admin đăng nhập vào hệ thống dashboard bằng email và password để quản lý POIs, Tours và nội dung hệ thống."
Basic Course of Events:
Actor Action,System Response
1,Perform {Login Authentication}
2,System hiển thị trang login với các trường email và password.
3,"Admin nhập email và password, nhấn nút ""Login""."
4,System validate email format và password không rỗng.
5,System gửi credentials đến Auth Service để xác thực.
6,System so sánh password hash (bcrypt) với record trong database.
7,System tạo JWT access token (15 phút) và refresh token (7 ngày).
8,System lưu token vào response và redirect Admin đến Dashboard Overview.
The use case ends.
Alternative Paths:
ID,Mô tả
**A1**,"Admin chọn ""Remember me"": System lưu refresh token vào cookie httpOnly, access token vào localStorage. Lần truy cập sau sẽ auto-login nếu token còn hạn. Return to step 8."
**A2**,"Admin chọn ""Forgot password"": Redirect sang UC-04 (Quên mật khẩu)."
Exception Paths:
ID,Mô tả
**E1**,"Tại step 6, nếu email không tồn tại hoặc password sai: System hiển thị ""Invalid email or password"" (không phân biệt lỗi email hay password vì lý do bảo mật). Return to step 2."
**E2**,"Tại step 6, nếu tài khoản bị khóa (status = 'locked'): System hiển thị ""Your account has been locked. Please contact support."" The use case ends."
**E3**,"Tại step 5, nếu số lần đăng nhập sai ≥ 5 trong 15 phút: System khóa tài khoản tạm thời 15 phút và hiển thị ""Too many failed attempts. Please try again later."" The use case ends."
**E4**,"Tại step 5, nếu server không phản hồi: System hiển thị ""Service unavailable. Please try again."" và tự động retry sau 5 giây. Return to step 2."
Extension Points:
Point,Mô tả
Login Authentication,"Xác thực bằng email/password qua bcrypt hash comparison. JWT token được generate với claims: {sub: adminId, role: 'admin', iat, exp}. (See Business Rule BR-001)"
Field,Detail
**Triggers**,Admin muốn truy cập dashboard để quản lý hệ thống.
**Assumptions**,Admin đã có tài khoản được tạo sẵn bởi system (Admin không tự đăng ký).
**Preconditions**,Admin có kết nối internet và truy cập được trang login.
**Post Conditions**,"Admin được xác thực thành công, JWT tokens được lưu, và Admin ở trang Dashboard Overview."
**Reference: Business Rules**,"BR-001, BR-002, BR-003"
**Author(s)**,AI Assistant
**Date**,2026-02-10

  UC-02: Đăng ký tài khoản
Field,Detail
**Use Case Number**,UC-02
**Use Case Name**,Đăng ký tài khoản
**Actor(s)**,"Tourist, Shop Owner"
**Maturity**,Focused
**Summary**,"Người dùng mới đăng ký tài khoản chọn vai trò Tourist hoặc Shop Owner thông qua unified registration endpoint. Nếu chọn Shop Owner, hệ thống tạo thêm record Shop_Owner với thông tin kinh doanh."
Basic Course of Events:
Actor Action,System Response
1,User truy cập trang đăng ký (/register).
2,"System hiển thị form đăng ký: email, password, confirm password, full name, role selector (Tourist / Shop Owner)."
3,"User nhập email, password, full name và chọn role = ""Tourist""."
4,"User nhấn nút ""Register""."
5,"System validate: email format, email chưa tồn tại, password ≥ 8 ký tự (upper + lower + number), password khớp confirm. {Validate Registration}"
6,System hash password bằng bcrypt (cost 12).
7,System tạo User record trong database (role = 'tourist').
8,System tạo JWT tokens (access + refresh).
9,System auto-login và redirect đến Tourist App hoặc Shop Owner Dashboard tùy role.
The use case ends.
Alternative Paths:
ID,Mô tả
**A1. Đăng ký Shop Owner**
Actor Action,System Response
