Mã,Câu hỏi,Loại,Options,Trả lời
'1,TỔNG QUAN DỰ ÁN,,,
'1.1,Mục tiêu & Phạm vi,,,
'1.1.1,Mục tiêu chính của ứng dụng là gì?,Text,,
'1.1.2,Đây là dự án cho đơn vị nào?,Text,"UBND, tổ chức du lịch, startup...",
'1.1.3,Có kế hoạch mở rộng sang địa điểm khác không?,Boolean,Có / Không,
'1.1.4,Số lượng user đồng thời dự kiến cao nhất?,Number,,
'1.2,Đặc điểm Kiosk,,,
'1.2.1,Tổng số kiosk hiện tại?,Number,,
'1.2.2,Khoảng cách trung bình giữa 2 kiosk? (mét),Number,,
'1.2.3,Khoảng cách ngắn nhất giữa 2 kiosk? (mét),Number,,
'1.2.4,Chiều dài tổng thể con phố? (mét),Number,,
'1.2.5,Các kiosk có cố định hay thay đổi?,Select,"Cố định, Thay đổi theo mùa, Thay đổi thường xuyên",
'2,THIẾT KẾ HỆ THỐNG,,,
'2.1,Kiến trúc Tổng thể (System Architecture),,,
'2.1.1,Hệ thống cần hỗ trợ bao nhiêu concurrent users?,Number,,
'2.1.2,Peak load dự kiến? (requests/second),Number,,
'2.1.3,Yêu cầu về latency tối đa cho response? (ms),Number,,
'2.1.4,Kiến trúc ưu tiên?,Select,"Monolithic, Microservices, Serverless, Hybrid",
'2.1.5,Cần high availability không? (99.9% uptime?),Boolean,Có / Không,
'2.1.6,Có yêu cầu disaster recovery không?,Boolean,Có / Không,
'2.1.7,Multi-region deployment cần không?,Boolean,Có / Không,
'2.2,Module Định vị (Location Service),,,
'2.2.1,Công nghệ định vị,,,
'2.2.1.1,Công nghệ định vị chính?,MultiSelect,"GPS/Geofencing (±5-10m free), BLE Beacons (±1-3m $15-30/beacon), WiFi Fingerprinting (±3-5m), UWB (±10cm expensive), QR only (manual), Hybrid",
'2.2.1.2,Fallback strategy khi công nghệ chính fail?,Text,,
'2.2.1.3,Có cần xác định hướng di chuyển (heading)?,Boolean,Có / Không,
'2.2.2,Thuật toán Zone Detection,,,
'2.2.2.1,Bán kính vùng của mỗi kiosk? (mét),Number,,
'2.2.2.2,Hình dạng vùng?,Select,"Tròn (circle), Polygon (custom shape)",
'2.2.2.3,Tần suất update vị trí? (giây),Number,,
'2.2.2.4,Thuật toán xử lý vùng giao thoa?,Select,"Nearest kiosk (simple), Hysteresis (stable), Direction-based (smart), Dwell time (filter quick), Signal strength decay (beacon)",
'2.2.2.5,Cooldown time giữa 2 lần chuyển? (seconds),Number,,
'2.2.2.6,Minimum dwell time để trigger thuyết minh? (seconds),Number,,
'2.2.3,Edge Cases Định vị,,,
'2.2.3.1,User đi nhanh qua nhiều kiosk - xử lý như thế nào?,Text,,
'2.2.3.2,User đứng yên ở vùng giao thoa lâu - xử lý?,Text,,
'2.2.3.3,GPS drift/jump đột ngột - xử lý?,Text,,
'2.2.3.4,Beacon bị hỏng hoặc hết pin - xử lý?,Text,,
'2.2.3.5,User không cho phép location permission - xử lý?,Text,,
'2.2.3.6,Signal interference (nhiễu tín hiệu) - xử lý?,Text,,
'2.3,State Machine (User Session State),,,
'2.3.1,Các trạng thái của user session cần có?,MultiSelect,"IDLE, ENTERING, IN_ZONE, TRANSITIONING, PAUSED, COMPLETED",
'2.3.2,Điều kiện chuyển ENTERING → IN_ZONE?,Text,,
'2.3.3,Điều kiện chuyển IN_ZONE → TRANSITIONING?,Text,,
'2.3.4,Xử lý khi user quay lại kiosk đã nghe?,Select,"Resume position, Restart, User choice",
'2.3.5,Session timeout sau bao lâu inactive? (phút),Number,,
'2.3.6,Lưu session state ở đâu?,Select,"Client-side only, Server-side, Hybrid",
'2.4,Audio/Media Service,,,
'2.4.1,Audio Playback,,,
'2.4.1.1,Audio format?,Select,"MP3 (128kbps ~1MB/min), AAC (96kbps ~0.7MB/min), Opus (64kbps ~0.5MB/min)",
'2.4.1.2,Audio streaming hay download trước?,Select,"Progressive download, Streaming (HLS/DASH), Pre-download all",
'2.4.1.3,Xử lý khi chuyển kiosk giữa chừng?,Select,"Fade out → Fade in, Immediate cut, Complete current sentence",
'2.4.1.4,Background audio playback (app minimized)?,Boolean,Có / Không,
'2.4.1.5,Audio controls cần có?,MultiSelect,"Play/Pause, Seek, Speed adjustment, Skip section",
'2.4.2,Text-to-Speech,,,
'2.4.2.1,TTS engine?,Select,"Google Cloud TTS, Amazon Polly, Azure Speech, On-device TTS",
'2.4.2.2,Pre-generate audio hay realtime TTS?,Select,"Pre-generate, Realtime, Hybrid",
'2.4.2.3,Voice selection per language?,Boolean,Có / Không,
'2.4.2.4,Caching strategy cho generated audio?,Text,,
'2.5,Database Design,,,
'2.5.1,Data Model,,,
'2.5.1.1,Các entity chính cần lưu?,MultiSelect,"Kiosk, Content, Translation, User, Session, Analytics",
'2.5.1.2,Kiosk location data structure?,Select,"Point (lat lng), Circle (center + radius), Polygon (custom shape)",
'2.5.1.3,Content versioning cần không?,Boolean,Có / Không,
'2.5.1.4,Soft delete hay hard delete?,Select,"Soft delete, Hard delete",
'2.5.2,Database Technology,,,
'2.5.2.1,Database type?,Select,"PostgreSQL (+ PostGIS), MySQL, MongoDB, Firebase/Firestore",
'2.5.2.2,Cần database replication không?,Boolean,Có / Không,
'2.5.2.3,Backup frequency?,Select,"Realtime, Hourly, Daily, Weekly",
'2.5.2.4,Data retention policy? (tháng),Number,,
'2.5.3,Caching Strategy,,,
'2.5.3.1,Cần cache layer không?,Boolean,Có / Không,
'2.5.3.2,Cache technology?,Select,"Redis, Memcached, CDN edge cache, Application-level cache",
'2.5.3.3,Cache invalidation strategy?,Select,"TTL-based, Event-based, Manual purge",
'2.5.3.4,Client-side caching policy?,Text,,
'2.6,API Design,,,
'2.6.1,API Architecture,,,
'2.6.1.1,API style?,Select,"REST, GraphQL, gRPC, WebSocket",
'2.6.1.2,API versioning strategy?,Select,"URL path (v1 v2), Header-based, Query param",
'2.6.1.3,Authentication method?,Select,"None (public), API Key, JWT, OAuth 2.0",
'2.6.1.4,Rate limiting cần không?,Boolean,Có / Không,
'2.6.1.5,Pagination strategy?,Select,"Offset-based, Cursor-based",
'2.6.2,Real-time Communication,,,
'2.6.2.1,Cần real-time updates không?,Boolean,Có / Không,
'2.6.2.2,Real-time technology?,Select,"WebSocket, Server-Sent Events, Long polling, Firebase Realtime",
'2.6.2.3,Real-time cho feature nào?,MultiSelect,"Location updates, Kiosk switch notifications, Content updates push",
'2.7,Client Application,,,
'2.7.1,Platform & Technology,,,
'2.7.1.1,Platform target?,Select,"PWA (Web), React Native, Flutter, Native iOS+Android",
'2.7.1.2,Minimum iOS version?,Select,"13, 14, 15, 16",
'2.7.1.3,Minimum Android version?,Select,"8, 10, 11, 12",
'2.7.1.4,State management approach?,Select,"Redux/MobX, Context API, Zustand, Riverpod",
'2.7.2,Offline Capabilities,,,
'2.7.2.1,Offline mode required?,Boolean,Có / Không,
'2.7.2.2,Data cần cache offline?,MultiSelect,"Kiosk list, Text content, Audio files, Images, Map tiles",
'2.7.2.3,Sync strategy khi online lại?,Text,,
'2.7.2.4,Maximum offline cache size? (MB),Number,,
'2.7.2.5,Pre-download option cho user?,Boolean,Có / Không,
'2.7.3,Location Service Client,,,
'2.7.3.1,Location permission flow?,Text,,
'2.7.3.2,Background location tracking?,Boolean,Có / Không,
'2.7.3.3,Battery optimization handling?,Text,,
'2.7.3.4,Location processing: client hay server?,Select,"Client-side, Server-side, Hybrid",
'2.7.3.5,Geofence setup: native hay custom?,Select,"Native geofencing API, Custom implementation",
'2.8,Security,,,
'2.8.1,Authentication & Authorization,,,
'2.8.1.1,User authentication required?,Select,"No auth, Optional, Required",
'2.8.1.2,Auth provider?,MultiSelect,"Custom (email/password), Social login, Phone OTP, Anonymous device ID",
'2.8.1.3,Token type?,Select,"JWT (stateless), Session-based (stateful)",
